2021	2	22	2021	2	22	2	2	0
2021	2	23	2021	2	23	5	5	0
2021	2	24	2021	2	24	22	22	0
2021	2	25	2021	2	25	16	16	0
2021	2	26	2021	2	26	23	23	0
2021	2	27	2021	2	27	2	2	0
2021	2	28	2021	2	28	1	1	0
2021	3	1	2021	3	1	44	44	1
2021	3	2	2021	3	2	35	35	0
2021	3	3	2021	3	3	46	46	1
2021	3	4	2021	3	4	48	48	2
2021	3	5	2021	3	5	49	49	3
2021	3	6	2021	3	6	7	6	2
2021	3	7	2021	3	7	17	17	0
2021	3	8	2021	3	8	28	28	0
2021	3	9	2021	3	9	58	58	1
2021	3	10	2021	3	10	75	75	0
2021	3	11	2021	3	11	107	107	2
2021	3	12	2021	3	12	77	77	2
2021	3	13	2021	3	13	9	9	0
2021	3	14	2021	3	14	49	49	0
2021	3	15	2021	3	15	149	149	0
2021	3	16	2021	3	16	153	152	2
2021	3	17	2021	3	17	154	154	0
2021	3	18	2021	3	18	161	161	1
2021	3	19	2021	3	19	134	134	2
2021	3	20	2021	3	20	24	24	0
2021	3	21	2021	3	21	35	35	0
2021	3	22	2021	3	22	235	233	0
2021	3	23	2021	3	23	243	243	0
2021	3	24	2021	3	24	271	270	2
2021	3	25	2021	3	25	579	577	0
2021	3	26	2021	3	26	318	318	2
2021	3	27	2021	3	27	72	72	0
2021	3	28	2021	3	28	108	108	1
2021	3	29	2021	3	29	493	492	2
2021	3	30	2021	3	30	213	212	4
2021	3	31	2021	3	31	383	381	1
2021	4	1	2021	4	1	307	306	1
2021	4	2	2021	4	2	131	131	1
2021	4	3	2021	4	3	93	93	0
2021	4	4	2021	4	4	63	63	0
2021	4	5	2021	4	5	55	55	2
2021	4	6	2021	4	6	1154	1151	6
2021	4	7	2021	4	7	321	320	1
2021	4	8	2021	4	8	418	414	1
2021	4	9	2021	4	9	629	614	3
2021	4	10	2021	4	10	66	66	2
2021	4	11	2021	4	11	67	64	0
2021	4	12	2021	4	12	755	746	7
